demographic,duration_per_ep,favorites,genres,members,name,name_english,popularity,premiered,ranked,rating,score,scored_by,studios,synonyms,synopsis,total_episodes,type_of
Shounen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  16,603\n'>]>","Action,Comedy,Sci-Fi","627,655",Gintama°,Gintama Season 4,#341,Spring 2015,#4,"
  PG-13 - Teens 13 or older
  ",9.06,250006,Bandai Namco Pictures," Gintama' (2015)
  ","Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?,
Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.,
Filled with tongue-in-cheek humor and moments of heartfelt emotion, ,'s fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.,
[Written by MAL Rewrite]","
  51
  ",TV
Shounen,"
  23 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  209,422\n'>]>","Action,Adventure,Fantasy","2,814,065",Hunter x Hunter (2011),Hunter x Hunter,#9,Fall 2011,#7,"
  PG-13 - Teens 13 or older
  ",9.04,1750771,Madhouse," HxH (2011)
  ","Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.,
Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.,
During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.,
[Written by MAL Rewrite]","
  148
  ",TV
Shounen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  59,277\n'>]>","Action,Comedy,Sci-Fi","1,061,538",Gintama,,#139,Spring 2006,#15,"
  PG-13 - Teens 13 or older
  ",8.94,395040,Sunrise," Gin Tama, Silver Soul, Yorinuki Gintama-san
  ","Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. ,
Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways. ,
Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo.,
[Written by MAL Rewrite]","
  201
  ",TV
Shounen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  2,653\n'>]>","Drama,Sports","51,747",Ashita no Joe 2,Tomorrow's Joe 2,#3040,Fall 1980,#50,"
  PG-13 - Teens 13 or older
  ",8.73,20192,Tokyo Movie Shinsha," Rocky Joe 2
  ","Yabuki Joe is left downhearted and hopeless after a certain tragic event. In attempt to put the past behind him, Joe leaves the gym behind and begins wandering. On his travels he comes across the likes of Wolf Kanagushi and Goromaki Gondo, men who unintentionally fan the dying embers inside him, leading him to putting his wanderings to an end. His return home puts Joe back on the path to boxing, but unknown to himself and his trainer, he now suffers deep-set issues holding him back from fighting. In attempt to quell those issues, Carlos Rivera, a world renowned boxer is invited from Venezuela to help Joe recover.","
  47
  ",TV
Shounen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  3,054\n'>]>","Action,Comedy,Sci-Fi","323,954",Gintama': Enchousen,Gintama: Enchousen,#738,Fall 2012,#11,"
  PG-13 - Teens 13 or older
  ",9.02,164702,Sunrise," Gintama' (2012), Gintama' Overdrive, Kintama
  ","While Gintoki Sakata was away, the Yorozuya found themselves a new leader: Kintoki, Gintoki's golden-haired doppelganger. In order to regain his former position, Gintoki will need the help of those around him, a troubling feat when no one can remember him! Between Kintoki and Gintoki, who will claim the throne as the main character?,
In addition, Yorozuya make a trip back down to red-light district of Yoshiwara to aid an elderly courtesan in her search for her long-lost lover. Although the district is no longer in chains beneath the earth's surface, the trio soon learn of the tragic backstories of Yoshiwara's inhabitants that still haunt them. With flashback after flashback, this quest has Yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls.,
[Written by MAL Rewrite]","
  13
  ",TV
Seinen,"
  23 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  1,475\n'>]>","Adventure,Mystery,Slice of Life,Supernatural","265,660",Mushishi Zoku Shou 2nd Season,Mushi-shi: Next Passage Part 2,#907,Fall 2014,#49,"
  PG-13 - Teens 13 or older
  ",8.73,106171,Artland," Mushishi Zoku Shou 2nd Season
  ","Ghostly, primordial beings known as Mushi continue to cause mysterious changes in the lives of humans. The travelling Mushishi, Ginko, persists in trying to set right the strange and unsettling situations he encounters. Time loops, living shadows, and telepathy are among the overt effects of interference from Mushi, but more subtle symptoms that take years to be noticed also rouse Ginko's concern as he passes from village to village.,
Through circumstance, Ginko has become an arbiter, determining which Mushi are blessings and which are curses. But the lines that he seeks to draw are subjective. Some of his patients would rather exercise their new powers until they are utterly consumed by them; others desperately strive to rid themselves of afflictions which are in fact protecting their lives from devastation. Those who cross paths with Mushi must learn to accept seemingly impossible consequences for their actions, and heal wounds they did not know they had. Otherwise, they risk meeting with fates beyond their comprehension.,
[Written by MAL Rewrite]","
  10
  ",TV
Shounen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  34,492\n'>]>","Adventure,Drama,Fantasy","661,816",Sousou no Frieren,Frieren: Beyond Journey's End,#307,Fall 2023,#1,"
  PG-13 - Teens 13 or older
  ",9.39,323466,Madhouse," Frieren at the Funeral
  ","During their decade-long quest to defeat the Demon King, the members of the hero's party—Himmel himself, the priest Heiter, the dwarf warrior Eisen, and the elven mage Frieren—forge bonds through adventures and battles, creating unforgettable precious memories for most of them.,
However, the time that Frieren spends with her comrades is equivalent to merely a fraction of her life, which has lasted over a thousand years. When the party disbands after their victory, Frieren casually returns to her ""usual"" routine of collecting spells across the continent. Due to her different sense of time, she seemingly holds no strong feelings toward the experiences she went through.,
As the years pass, Frieren gradually realizes how her days in the hero's party truly impacted her. Witnessing the deaths of two of her former companions, Frieren begins to regret having taken their presence for granted; she vows to better understand humans and create real personal connections. Although the story of that once memorable journey has long ended, a new tale is about to begin.,
[Written by MAL Rewrite]","
  28
  ",TV
Seinen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  1,043\n'>]>",,"63,380",Kingdom 4th Season,Kingdom: Season 4,#2730,Spring 2022,#48,"
  R - 17+ (violence & profanity)
  ",8.74,26617,Pierrot," キングダム 第4シリーズ
  ","Following the conclusion of the large-scale coalition campaign, the entirety of China is in a state of economic recovery. The victor of the battle, the state of Qin, is no different. There, the political parties led by Ying Zheng and Buwei Lü continue their inner conflict. Having played the role of king in the coalition battle, Zheng has the trust of the people—but Lü is far from out of the fight. In 18 months, he plans to interrupt Zheng's coming-of-age ceremony.,
Meanwhile, a Zhao army numbering 20,000 troops has set out toward Qin. In the royal court, due to the lack of generals capable of responding to the incoming threat, Lü slyly suggests that Zheng take command. However, Cheng Jiao, Zheng's half-brother, volunteers instead. As they grew to trust each other during the coalition battle, Zheng now accepts Jiao as his replacement.,
However, the Zhao forces retreat a mere half-day after clashing with Jiao's army. With trouble quickly brewing in the shadows, the internal struggle of Qin is only complicated further. There are only two men Zheng feels he can rely on: Bi, a general who commands 30,000 men; and Xin, the leader of the Fei Xin force.,
[Written by MAL Rewrite]","
  26
  ",TV
Shounen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  225,127\n'>]>","Action,Adventure,Drama,Fantasy","3,329,176",Fullmetal Alchemist: Brotherhood,,#3,Spring 2009,#2,"
  R - 17+ (violence & profanity)
  ",9.09,2110918,Bones," Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB
  ","After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.,
The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.,
As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.,
[Written by MAL Rewrite]","
  64
  ",TV
,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  82,105\n'>]>","Action,Award Winning,Sci-Fi","1,857,678",Cowboy Bebop,,#43,Spring 1998,#46,"
  R - 17+ (violence & profanity)
  ",8.75,960553,Sunrise," カウボーイビバップ
  ","Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters.,
Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh Corgi.,
While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds.,
[Written by MAL Rewrite]","
  26
  ",TV
Seinen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  47,002\n'>]>","Action,Adventure,Drama","1,501,543",Vinland Saga,,#77,Summer 2019,#47,"
  R - 17+ (violence & profanity)
  ",8.75,863367,Wit Studio," ヴィンランド・サガ
  ","Young Thorfinn grew up listening to the stories of old sailors that had traveled the ocean and reached the place of legend, Vinland. It's said to be warm and fertile, a place where there would be no need for fighting—not at all like the frozen village in Iceland where he was born, and certainly not like his current life as a mercenary. War is his home now. Though his father once told him, ""You have no enemies, nobody does. There is nobody who it's okay to hurt,"" as he grew, Thorfinn knew that nothing was further from the truth.,
The war between England and the Danes grows worse with each passing year. Death has become commonplace, and the viking mercenaries are loving every moment of it. Allying with either side will cause a massive swing in the balance of power, and the vikings are happy to make names for themselves and take any spoils they earn along the way. Among the chaos, Thorfinn must take his revenge and kill Askeladd, the man who murdered his father. The only paradise for the vikings, it seems, is the era of war and death that rages on.,
[Written by MAL Rewrite]","
  24
  ",TV
,"
  25 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  23,402\n'>]>","Comedy,Mystery,Romance,Supernatural","667,731",Monogatari Series: Second Season,,#302,Summer 2013,#45,"
  R - 17+ (violence & profanity)
  ",8.76,356578,Shaft," Nekomonogatari: Shiro, Kabukimonogatari, Otorimonogatari, Onimonogatari, Koimonogatari
  ","Apparitions, oddities, and gods continue to manifest around Koyomi Araragi and his close-knit group of friends: Tsubasa Hanekawa, the group's modest genius; Shinobu Oshino, the resident doughnut-loving vampire; athletic deviant Suruga Kanbaru; bite-happy spirit Mayoi Hachikuji; Koyomi's cutesy stalker Nadeko Sengoku; and Hitagi Senjougahara, Koyomi's aloof classmate., revolves around these individuals and their struggle to overcome the darkness that is rapidly approaching. A new semester has begun and with graduation looming over Koyomi, he must quickly decide the paths he will walk, as well as the relationships and friends that he'll save. But as strange events begin to unfold, Koyomi is nowhere to be found, and a vicious tiger apparition has appeared in his absence. Hanekawa has become its target, and she must fend for herself—or bow to the creature's perspective on the feebleness of humanity.,
[Written by MAL Rewrite]","
  26
  ",TV
,"
  2 hr. 4 min.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  32,715\n'>]>","Adventure,Award Winning,Supernatural","1,845,967",Sen to Chihiro no Kamikakushi,Spirited Away,#44,,#41,"
  PG - Children
  ",8.77,1293290,Studio Ghibli," Sen and Chihiro's Spiriting Away
  ","Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.,
Vivid and intriguing, , tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.,
[Written by MAL Rewrite]","
  1
  ",Movie
Shounen,"
  23 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  21,952\n'>]>",,"589,141",Hajime no Ippo,Fighting Spirit,#370,Fall 2000,#42,"
  PG-13 - Teens 13 or older
  ",8.77,290143,Madhouse," The First Step, Hajime no Ippo: The Fighting
  ","In his father's absence, teenager Ippo Makunouchi works hard to help his mother run her fishing boat rental business. Ippo's timid nature, his lack of sleep, and the sea smell make him an easy target for relentless bullies who leave him bruised and beaten on a daily basis. Mamoru Takamura, an up-and-coming boxer, rescues Ippo from a violent after-school incident and takes him back to the Kamogawa Boxing Gym for recovery. Takamura and his fellow boxers, Masaru Aoki and Tatsuya Kimura, are stunned by Ippo's powerful punches—a result of strong muscles developed through years serving his physically taxing family business. ,
Following brief training under Takamura, Ippo impresses the other boxers in a practice match against prodigy Ichirou Miyata. He gains a rival in Miyata and a coach in Genji Kamogawa, the gym owner and a former boxer himself. As Ippo takes the first steps in his official boxing career, he faces off against a series of challenging opponents, each more powerful than the last. Victory, loss, and a cycle of dedicated training await Ippo on his journey to achieve greatness. With his tough body and unstoppable fighting spirit, the kind young man seeks to take on the world.,
[Written by MAL Rewrite]","
  75
  ",TV
